Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62200.00,13.60,14.65,12.00,12.55,12.55,12.55,230.00,5008.16,1.06,9205.00,-35.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,60200.00,70.95,90.85,64.70,67.25,66.75,67.25,7426.00,156662.93,197.11,65205.00,-7280.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62300.00,12.80,14.20,9.85,11.90,11.85,11.90,297.00,6477.38,1.29,7595.00,245.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55500.00,3091.85,3203.70,3030.00,3030.00,3030.00,3030.00,41.00,841.22,44.80,87290.00,-420.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,60700.00,51.90,52.60,37.30,38.95,38.85,38.95,2698.00,57359.38,40.37,43085.00,2065.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,54900.00,3699.95,3730.00,3650.95,3730.00,3730.00,3491.85,11.00,225.61,14.24,3150.00,105.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53700.00,-,-,-,5050.00,5050.00,4684.80,-,-,-,735.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,50700.00,-,-,-,7848.25,7848.25,7678.35,-,-,-,105.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,60600.00,62.00,62.40,41.60,43.05,43.15,43.05,4048.00,85926.73,68.65,63035.00,5215.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,52600.00,-,-,-,5970.25,5970.25,5782.25,-,-,-,770.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,63200.00,9.20,10.30,7.50,7.50,7.50,7.50,121.00,2676.90,0.38,5180.00,420.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,48800.00,-,-,-,5970.40,-,9574.50,-,-,-,-,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55300.00,-,-,-,2816.75,2816.75,3098.45,-,-,-,910.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,59100.00,275.05,329.70,247.40,262.35,253.25,262.35,20515.00,426421.28,2068.51,114730.00,3535.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,52900.00,-,-,-,5663.65,5663.65,5482.90,-,-,-,595.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53200.00,-,-,-,5368.20,5368.30,5183.55,-,-,-,805.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,52100.00,-,-,-,5875.10,5875.10,6281.25,-,-,-,805.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,52400.00,-,-,-,6157.10,6157.10,5981.85,-,-,-,595.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,49400.00,-,-,-,5454.40,-,8975.70,-,-,-,-,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,51300.00,7270.00,7273.00,7270.00,7273.00,7273.00,7079.60,3.00,61.50,7.63,595.00,-105.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56500.00,2175.00,2252.20,2050.00,2092.80,2080.00,2092.80,700.00,14370.22,527.72,107240.00,8540.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,60000.00,109.80,113.90,82.00,86.55,84.50,86.55,62147.00,1307156.15,2069.15,1148140.00,-5530.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,60100.00,100.00,101.35,72.55,75.40,75.25,75.40,14148.00,298015.62,412.44,65800.00,16345.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55600.00,-,-,-,2858.90,2830.00,2806.85,-,-,-,1890.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,63500.00,10.45,10.45,5.70,7.25,7.20,7.25,1415.00,31452.10,3.73,52780.00,-1400.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,54200.00,-,-,-,3825.00,3825.00,4186.55,-,-,-,3850.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,59200.00,267.20,290.40,219.90,232.75,225.00,232.75,17329.00,360610.39,1553.51,123480.00,-6125.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,50800.00,-,-,-,7749.35,7749.35,7578.60,-,-,-,70.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,51700.00,-,-,-,6570.00,6570.00,6680.40,-,-,-,560.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,51900.00,-,-,-,6586.50,6586.50,6480.85,-,-,-,595.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,58600.00,504.00,549.00,437.65,465.10,448.20,465.10,69553.00,1438713.18,12181.15,395290.00,69790.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,50600.00,-,-,-,7947.20,7947.20,7778.15,-,-,-,70.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62500.00,11.90,13.15,8.60,10.35,8.65,10.35,8792.00,192358.09,33.09,258965.00,-12075.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,52300.00,-,-,-,6100.00,6100.00,6081.65,-,-,-,630.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,60800.00,39.80,48.65,34.00,34.85,35.90,34.85,3288.00,70012.14,43.50,57120.00,11095.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,59500.00,201.05,205.55,151.35,160.55,155.45,160.55,51735.00,1080574.60,3193.23,676900.00,78330.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,59900.00,116.30,130.00,92.95,96.80,96.20,96.80,9712.00,203974.86,362.78,75320.00,2380.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62100.00,13.95,15.35,12.25,13.05,15.05,13.05,1404.00,30522.69,6.75,19040.00,3220.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,54800.00,-,-,-,3114.30,3114.30,3590.70,-,-,-,2135.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53000.00,5530.70,5610.00,5490.00,5550.30,5550.30,5383.10,19.00,389.33,36.88,20650.00,-455.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,61800.00,15.45,18.70,14.40,15.50,15.70,15.50,668.00,14452.64,3.80,22085.00,2695.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,51400.00,-,-,-,7145.15,7145.15,6979.80,-,-,-,385.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,57400.00,1314.05,1429.00,1258.70,1296.15,1276.25,1296.15,605.00,12439.45,285.00,34475.00,-4900.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,49300.00,-,-,-,5539.25,-,9075.50,-,-,-,-,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53800.00,-,-,-,4400.00,4400.00,4585.10,-,-,-,1505.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,51000.00,7542.50,7635.00,7542.50,7549.75,7549.75,7379.00,12.00,246.09,31.89,21210.00,-350.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62800.00,12.05,13.60,8.50,9.35,8.50,9.35,451.00,9914.60,1.62,5495.00,1505.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,57200.00,1508.30,1610.30,1420.30,1451.60,1440.00,1451.60,378.00,7768.13,200.57,30555.00,-4480.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,51800.00,-,-,-,6800.00,6800.00,6580.60,-,-,-,595.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,61600.00,23.05,23.05,16.30,17.75,18.30,17.75,1065.00,22968.63,7.23,8855.00,1190.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53100.00,-,-,-,5484.90,5484.90,5283.35,-,-,-,525.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,60900.00,37.55,44.15,30.75,32.20,32.40,32.20,2372.00,50588.15,28.97,24290.00,-805.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,65000.00,5.80,5.90,4.75,5.00,4.90,5.00,5219.00,118741.59,9.34,230580.00,-1960.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,50000.00,8570.00,8617.00,8460.00,8507.50,8504.10,8507.50,57.00,1167.87,170.37,92365.00,-1750.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56600.00,2118.05,2118.05,2057.75,2073.85,2073.85,1878.35,11.00,225.89,7.98,5110.00,-245.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,52700.00,-,-,-,5883.95,5884.10,5682.50,-,-,-,665.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,50300.00,-,-,-,7698.85,7696.55,8077.55,-,-,-,140.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,49800.00,-,-,-,8732.35,8732.35,8576.55,-,-,-,35.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,57100.00,1570.50,1674.00,1535.35,1545.40,1537.10,1545.40,127.00,2608.58,70.48,15960.00,-1470.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,51200.00,-,-,-,7341.15,7341.15,7179.40,-,-,-,280.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,50100.00,-,-,-,8442.05,8442.05,8277.15,-,-,-,35.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,57500.00,1250.00,1341.15,1160.00,1205.05,1183.00,1205.05,6249.00,128511.34,2750.22,242445.00,-25200.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62000.00,17.00,20.15,12.55,13.15,13.45,13.15,29819.00,647219.99,147.69,817775.00,34475.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,59300.00,243.05,261.90,194.40,208.15,199.35,208.15,18591.00,387342.43,1486.22,307230.00,4515.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55000.00,3599.95,3696.00,3481.00,3543.40,3516.05,3543.40,858.00,17597.78,1081.28,109690.00,-1645.00,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,53400.00,5439.65,5460.50,5439.65,5450.10,5460.50,5450.10,2.00,41.20,3.82,70.00,-,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,54400.00,4484.30,4506.00,4484.30,4495.15,4506.00,4495.15,2.00,41.23,3.15,140.00,35.00,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,62900.00,-,-,-,170.15,-,122.95,-,-,-,-,-,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,62600.00,-,-,-,191.60,-,150.05,-,-,-,-,-,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,60400.00,-,-,-,433.90,-,541.10,-,-,-,-,-,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,61500.00,138.25,170.55,136.80,142.30,137.00,142.30,549.00,11846.46,29.23,34090.00,490.00,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,65000.00,21.00,23.00,19.05,20.45,20.00,20.45,292.00,6645.08,2.08,18200.00,5670.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53900.00,-,-,-,4525.00,4525.00,4485.40,-,-,-,735.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,51100.00,-,-,-,7441.20,7441.20,7279.20,-,-,-,315.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,48500.00,-,-,-,9900.00,9900.00,9873.85,-,-,-,735.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55400.00,-,-,-,2753.55,2753.55,3000.85,-,-,-,5950.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,54100.00,-,-,-,4419.90,4419.90,4286.15,-,-,-,770.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53300.00,-,-,-,5286.55,5286.55,5083.80,-,-,-,490.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,49500.00,-,-,-,8725.00,8725.00,8875.90,-,-,-,350.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55800.00,-,-,-,2510.00,2510.00,2614.80,-,-,-,1890.00,-,58274.65
